request_id,provider_id,app_type,model,request_model,input_tokens,output_tokens,cache_read_tokens,cache_creation_tokens,input_cost_usd,output_cost_usd,cache_read_cost_usd,cache_creation_cost_usd,total_cost_usd,latency_ms,first_token_ms,duration_ms,status_code,error_message,session_id,provider_type,is_streaming,cost_multiplier,created_at,data_source,pricing_model,input_token_semantics
session:msg_202609061112016ac56e01fc594c97,_session,claude,glm-5.3,glm-5.3,520,181,67712,0,0,0,0,0,0,0,,,200,,c1763a82-f203-4bda-b95d-be5cd4ee438e,session_log,1,1.0,1788664326,session_log,,0
session:msg_202609061112068688890865e94223,_session,claude,glm-5.3,glm-5.3,250,77,68224,0,0,0,0,0,0,0,,,200,,c1763a82-f203-4bda-b95d-be5cd4ee438e,session_log,1,1.0,1788664331,session_log,,0
session:msg_2026090611123995f73d7e6d194a06,_session,claude,glm-5.3,glm-5.3,939,11642,68416,0,0,0,0,0,0,0,,,200,,c1763a82-f203-4bda-b95d-be5cd4ee438e,session_log,1,1.0,1788664547,session_log,,0
session:msg_202609061115488d61ed2562214f64,_session,claude,glm-5.3,glm-5.3,11709,19,69312,0,0,0,0,0,0,0,,,200,,c1763a82-f203-4bda-b95d-be5cd4ee438e,session_log,1,1.0,1788664554,session_log,,0
session:msg_20260906111554502b784e2eea451b,_session,claude,glm-5.3,glm-5.3,103,6661,80960,0,0,0,0,0,0,0,,,200,,c1763a82-f203-4bda-b95d-be5cd4ee438e,session_log,1,1.0,1788664619,session_log,,0
session:msg_202609061116592e5e43419116438f,_session,claude,glm-5.3,glm-5.3,6760,137,81024,0,0,0,0,0,0,0,,,200,,c1763a82-f203-4bda-b95d-be5cd4ee438e,session_log,1,1.0,1788664625,session_log,,0
session:msg_20260906111706fb9f2753a39d4db7,_session,claude,glm-5.3,glm-5.3,238,77,87744,0,0,0,0,0,0,0,,,200,,c1763a82-f203-4bda-b95d-be5cd4ee438e,session_log,1,1.0,1788664632,session_log,,0
session:msg_202609061117539b81916029594798,_session,claude,glm-5.3,glm-5.3,1669,6991,87936,0,0,0,0,0,0,0,,,200,,c1763a82-f203-4bda-b95d-be5cd4ee438e,session_log,1,1.0,1788664765,session_log,,0
session:msg_202609061119367654dbde0fd14ffd,_session,claude,glm-5.3,glm-5.3,7061,68,89600,0,0,0,0,0,0,0,,,200,,c1763a82-f203-4bda-b95d-be5cd4ee438e,session_log,1,1.0,1788664780,session_log,,0
session:msg_202609061120104bf91e63bd224345,_session,claude,glm-5.3,glm-5.3,452,6367,96640,0,0,0,0,0,0,0,,,200,,c1763a82-f203-4bda-b95d-be5cd4ee438e,session_log,1,1.0,1788664895,session_log,,0
session:msg_20260906112148913862522cf6457d,_session,claude,glm-5.3,glm-5.3,6435,805,97088,0,0,0,0,0,0,0,,,200,,c1763a82-f203-4bda-b95d-be5cd4ee438e,session_log,1,1.0,1788664919,session_log,,0
session:msg_20260906112201f7d8d91e1f0748b7,_session,claude,glm-5.3,glm-5.3,1048,79,103488,0,0,0,0,0,0,0,,,200,,c1763a82-f203-4bda-b95d-be5cd4ee438e,session_log,1,1.0,1788664926,session_log,,0
session:msg_20260906112245525d3d5f95a641f0,_session,claude,glm-5.3,glm-5.3,870,1810,104512,0,0,0,0,0,0,0,,,200,,c1763a82-f203-4bda-b95d-be5cd4ee438e,session_log,1,1.0,1788664979,session_log,,0
session:msg_202609061123081be2b2649ee14ac9,_session,claude,glm-5.3,glm-5.3,1907,78,105344,0,0,0,0,0,0,0,,,200,,c1763a82-f203-4bda-b95d-be5cd4ee438e,session_log,1,1.0,1788664993,session_log,,0
session:msg_20260906112333c70bef5910d64eaa,_session,claude,glm-5.3,glm-5.3,312,5361,107200,0,0,0,0,0,0,0,,,200,,c1763a82-f203-4bda-b95d-be5cd4ee438e,session_log,1,1.0,1788665084,session_log,,0
session:msg_202609061124570f4562c019bf4c0f,_session,claude,glm-5.3,glm-5.3,5476,88,107456,0,0,0,0,0,0,0,,,200,,c1763a82-f203-4bda-b95d-be5cd4ee438e,session_log,1,1.0,1788665102,session_log,,0
session:msg_20260906112524e1f4a709c7384e8d,_session,claude,glm-5.3,glm-5.3,637,16905,112896,0,0,0,0,0,0,0,,,200,,c1763a82-f203-4bda-b95d-be5cd4ee438e,session_log,1,1.0,1788665272,session_log,,0
session:msg_20260906113512309b41c5c924441d,_session,claude,glm-5.3,glm-5.3,17195,3711,113472,0,0,0,0,0,0,0,,,200,,c1763a82-f203-4bda-b95d-be5cd4ee438e,session_log,1,1.0,1788665772,session_log,,0
session:msg_202609061136154b7ac8b899174620,_session,claude,glm-5.3,glm-5.3,3817,183,130624,0,0,0,0,0,0,0,,,200,,c1763a82-f203-4bda-b95d-be5cd4ee438e,session_log,1,1.0,1788665781,session_log,,0
session:msg_202609061136219dfc885d2e714a86,_session,claude,glm-5.3,glm-5.3,286,235,134400,0,0,0,0,0,0,0,,,200,,c1763a82-f203-4bda-b95d-be5cd4ee438e,session_log,1,1.0,1788665789,session_log,,0
session:msg_202609061136292108e4a9192141ef,_session,claude,glm-5.3,glm-5.3,327,193,134656,0,0,0,0,0,0,0,,,200,,c1763a82-f203-4bda-b95d-be5cd4ee438e,session_log,1,1.0,1788665792,session_log,,0
session:msg_202609061136335a9a19b2c4604478,_session,claude,glm-5.3,glm-5.3,262,212,134976,0,0,0,0,0,0,0,,,200,,c1763a82-f203-4bda-b95d-be5cd4ee438e,session_log,1,1.0,1788665799,session_log,,0
session:msg_202609061136391c98744030664035,_session,claude,glm-5.3,glm-5.3,280,78,135232,0,0,0,0,0,0,0,,,200,,c1763a82-f203-4bda-b95d-be5cd4ee438e,session_log,1,1.0,1788665804,session_log,,0
session:msg_202609061137152a3c3a6f00a24c69,_session,claude,glm-5.3,glm-5.3,1622,2506,135488,0,0,0,0,0,0,0,,,200,,c1763a82-f203-4bda-b95d-be5cd4ee438e,session_log,1,1.0,1788665880,session_log,,0
session:msg_20260906113804b3f91703f7ed4cc0,_session,claude,glm-5.3,glm-5.3,2590,164,137088,0,0,0,0,0,0,0,,,200,,c1763a82-f203-4bda-b95d-be5cd4ee438e,session_log,1,1.0,1788665890,session_log,,0
session:msg_20260906113810fa9877b946ab4fba,_session,claude,glm-5.3,glm-5.3,402,291,139648,0,0,0,0,0,0,0,,,200,,c1763a82-f203-4bda-b95d-be5cd4ee438e,session_log,1,1.0,1788665897,session_log,,0
session:msg_2026090611381809207076502249c2,_session,claude,glm-5.3,glm-5.3,370,766,140032,0,0,0,0,0,0,0,,,200,,c1763a82-f203-4bda-b95d-be5cd4ee438e,session_log,1,1.0,1788665900,session_log,,0
session:msg_20260906113827650b0314c4dd413f,_session,claude,glm-5.3,glm-5.3,878,539,140352,0,0,0,0,0,0,0,,,200,,c1763a82-f203-4bda-b95d-be5cd4ee438e,session_log,1,1.0,1788665916,session_log,,0
session:msg_202609061138364727aa1578b14866,_session,claude,glm-5.3,glm-5.3,647,107,141184,0,0,0,0,0,0,0,,,200,,c1763a82-f203-4bda-b95d-be5cd4ee438e,session_log,1,1.0,1788665922,session_log,,0
session:msg_202609061139151eb3f24f61b94309,_session,claude,glm-5.3,glm-5.3,963,15023,141824,0,0,0,0,0,0,0,,,200,,c1763a82-f203-4bda-b95d-be5cd4ee438e,session_log,1,1.0,1788666094,session_log,,0
session:msg_202609061142358fc3a9aa6bce4459,_session,claude,glm-5.3,glm-5.3,15088,107,142784,0,0,0,0,0,0,0,,,200,,c1763a82-f203-4bda-b95d-be5cd4ee438e,session_log,1,1.0,1788666160,session_log,,0
session:msg_20260906114310ca42ee8fef404755,_session,claude,glm-5.3,glm-5.3,1336,3885,157824,0,0,0,0,0,0,0,,,200,,c1763a82-f203-4bda-b95d-be5cd4ee438e,session_log,1,1.0,1788666257,session_log,,0
session:msg_202609061144202bc0ffc417024871,_session,claude,glm-5.3,glm-5.3,4152,415,159104,0,0,0,0,0,0,0,,,200,,c1763a82-f203-4bda-b95d-be5cd4ee438e,session_log,1,1.0,1788666265,session_log,,0
session:msg_202609061144257d2f13699dba413d,_session,claude,glm-5.3,glm-5.3,533,136,163200,0,0,0,0,0,0,0,,,200,,c1763a82-f203-4bda-b95d-be5cd4ee438e,session_log,1,1.0,1788666268,session_log,,0
session:msg_20260906114428a4630502ee444cc8,_session,claude,glm-5.3,glm-5.3,219,279,163712,0,0,0,0,0,0,0,,,200,,c1763a82-f203-4bda-b95d-be5cd4ee438e,session_log,1,1.0,1788666274,session_log,,0
session:msg_20260906114437c1d40f3b909443d9,_session,claude,glm-5.3,glm-5.3,368,195,163904,0,0,0,0,0,0,0,,,200,,c1763a82-f203-4bda-b95d-be5cd4ee438e,session_log,1,1.0,1788666282,session_log,,0
session:msg_202609061144431a03c0d4be1243c8,_session,claude,glm-5.3,glm-5.3,305,300,164224,0,0,0,0,0,0,0,,,200,,c1763a82-f203-4bda-b95d-be5cd4ee438e,session_log,1,1.0,1788666291,session_log,,0
session:msg_20260906114530445f4397e549477b,_session,claude,glm-5.3,glm-5.3,1135,3374,164480,0,0,0,0,0,0,0,,,200,,c1763a82-f203-4bda-b95d-be5cd4ee438e,session_log,1,1.0,1788666384,session_log,,0
session:msg_20260906114743032b1f12418d47e9,_session,claude,glm-5.3,glm-5.3,21119,82,20416,0,0,0,0,0,0,0,,,200,,c1763a82-f203-4bda-b95d-be5cd4ee438e,session_log,1,1.0,1788666468,session_log,,0
session:msg_2026090611481472fc0de419644468,_session,claude,glm-5.3,glm-5.3,475,6829,41472,0,0,0,0,0,0,0,,,200,,c1763a82-f203-4bda-b95d-be5cd4ee438e,session_log,1,1.0,1788666597,session_log,,0
session:msg_202609061150091136b4cb518a40f2,_session,claude,glm-5.3,glm-5.3,6912,57,41920,0,0,0,0,0,0,0,,,200,,c1763a82-f203-4bda-b95d-be5cd4ee438e,session_log,1,1.0,1788666613,session_log,,0
session:msg_20260906115053b707f50ccfe94017,_session,claude,glm-5.3,glm-5.3,322,4571,48768,0,0,0,0,0,0,0,,,200,,c1763a82-f203-4bda-b95d-be5cd4ee438e,session_log,1,1.0,1788666737,session_log,,0
session:msg_202609061152489c91666b82904558,_session,claude,glm-5.3,glm-5.3,6222,3531,49088,0,0,0,0,0,0,0,,,200,,c1763a82-f203-4bda-b95d-be5cd4ee438e,session_log,1,1.0,1788666817,session_log,,0
session:msg_20260906115347b565af9698d74784,_session,claude,glm-5.3,glm-5.3,3755,851,55296,0,0,0,0,0,0,0,,,200,,c1763a82-f203-4bda-b95d-be5cd4ee438e,session_log,1,1.0,1788666829,session_log,,0
session:msg_202609061153558c1f0cb92eaa4cca,_session,claude,glm-5.3,glm-5.3,956,178,59008,0,0,0,0,0,0,0,,,200,,c1763a82-f203-4bda-b95d-be5cd4ee438e,session_log,1,1.0,1788666842,session_log,,0
session:msg_2026090611540282922e5177fe4a74,_session,claude,glm-5.3,glm-5.3,385,253,59904,0,0,0,0,0,0,0,,,200,,c1763a82-f203-4bda-b95d-be5cd4ee438e,session_log,1,1.0,1788666847,session_log,,0
